display_first_last,birthdate,school,country,height,weight,season_exp,jersey,position,rosterstatus,team_name,draft_year,draft_round,draft_number,greatest_75_flag
Dick Mehen,1922-05-20 00:00:00,Tennessee,USA,6-5,195.0,3.0,17,Forward,Inactive,Pistons,Undrafted,Undrafted,Undrafted,N
Fab Melo,1990-06-20 00:00:00,Syracuse,Brazil,7-0,255.0,2.0,13,Center,Inactive,Celtics,2012,1,22,N
De'Anthony Melton,1998-05-28 00:00:00,Southern California,USA,6-2,200.0,4.0,8,Guard,Active,76ers,2018,2,46,N
John Mengelt,1949-10-16 00:00:00,Auburn,USA,6-2,195.0,10.0,15,Guard,Inactive,Pistons,1971,2,21,N
Joe Meriweather,1953-10-26 00:00:00,Southern Illinois,USA,6-10,215.0,10.0,50,Center,Inactive,Kings,1975,1,11,N
Porter Meriwether,1940-03-16 00:00:00,Tennessee State,USA,6-2,180.0,1.0,14,Guard,Inactive,Nationals,1962,3,21,N
Loren Meyer,1972-12-30 00:00:00,Iowa State,USA,6-10,260.0,3.0,34,Center-Forward,Inactive,Mavericks,1995,1,24,N
Larry Micheaux,1960-03-24 00:00:00,Houston,USA,6-9,220.0,2.0,40,Forward,Inactive,Rockets,1983,2,29,N
Jordan Mickey,1994-07-09 00:00:00,Louisiana State,USA,6-8,235.0,4.0,25,Center-Forward,Inactive,Celtics,2015,2,33,N
Khris Middleton,1991-08-12 00:00:00,Texas A&M,USA,6-7,222.0,10.0,22,Forward,Active,Bucks,2012,2,39,N
Chris Mihm,1979-07-16 00:00:00,Texas-Austin,USA,7-0,265.0,9.0,4,Center,Inactive,Cavaliers,2000,1,7,N
Ed Mikan,1925-10-20 00:00:00,DePaul,USA,6-8,230.0,6.0,15,Center,Inactive,Warriors,1948,1,5,N
George Mikan,1924-06-18 00:00:00,DePaul,USA,6-10,245.0,7.0,99,Center,Inactive,Lakers,Undrafted,Undrafted,Undrafted,Y
Larry Mikan,1948-04-08 00:00:00,Minnesota,USA,6-7,210.0,1.0,30,Forward,Inactive,Cavaliers,1970,4,64,N
Darius Miles,1981-10-09 00:00:00,East St. Louis HS (IL),USA,6-9,235.0,8.0,3,Forward,Inactive,Clippers,2000,1,3,N
Eddie Miles,1940-07-05 00:00:00,Seattle,USA,6-4,195.0,9.0,42,Guard,Inactive,Pistons,1963,1,4,N
Bob Miller,1956-07-09 00:00:00,Cincinnati,USA,6-10,230.0,1.0,41,Forward,Inactive,Spurs,1978,4,85,N
Oliver Miller,1970-04-06 00:00:00,Arkansas,USA,6-9,315.0,10.0,3,Center,Inactive,Suns,1992,1,22,N
Chris Mills,1970-01-25 00:00:00,Arizona,USA,6-7,220.0,11.0,34,Forward,Inactive,Cavaliers,1993,1,22,N
Patty Mills,1988-08-11 00:00:00,St. Mary's,Australia,6-0,180.0,13.0,8,Guard,Active,Nets,2009,2,55,N
Harold Miner,1971-05-05 00:00:00,Southern California,USA,6-5,210.0,4.0,4,Guard,Inactive,Heat,1992,1,12,N
Dave Minor,1922-02-23 00:00:00,UCLA,USA,6-2,185.0,2.0,8,Guard,Inactive,Hawks,Undrafted,Undrafted,Undrafted,N
Josh Minott,2002-11-25 00:00:00,Memphis,USA,6-8,205.0,0.0,8,Forward,Active,Timberwolves,2022,2,45,N
Nikola Mirotic,1991-02-11 00:00:00,Real Madrid,Montenegro,6-10,250.0,6.0,41,Forward,Inactive,Bulls,2011,1,23,N
Davion Mitchell,1998-09-05 00:00:00,Baylor,USA,6-0,202.0,1.0,15,Guard,Active,Kings,2021,1,9,N
Larry Moffett,1954-11-05 00:00:00,UNLV,USA,6-8,210.0,1.0,41,Forward,Inactive,Rockets,1977,2,34,N
Leo Mogus,1921-04-13 00:00:00,Youngstown State,USA,6-4,190.0,4.0,18,Forward,Inactive,Warriors,Undrafted,Undrafted,Undrafted,N
Paul Mokeski,1957-01-03 00:00:00,Kansas,USA,7-0,250.0,12.0,44,Center,Inactive,Bucks,1979,2,42,N
Jack Molinas,1931-10-01 00:00:00,Columbia,USA,6-6,200.0,1.0,6,Forward,Inactive,Pistons,1953,1,3,N
Sidney Moncrief,1957-09-21 00:00:00,Arkansas,USA,6-4,180.0,11.0,4,Guard,Inactive,Bucks,1979,1,5,N
Greg Monroe,1990-06-04 00:00:00,Georgetown,USA,6-10,250.0,11.0,15,Forward-Center,Inactive,Timberwolves,2010,1,7,N
Rodney Monroe,1968-04-16 00:00:00,North Carolina State,USA,6-3,185.0,1.0,12,Guard,Inactive,Hawks,1991,2,30,N
Howie Montgomery,1940-08-22 00:00:00,Texas-Pan American,USA,6-4,220.0,1.0,43,Forward,Inactive,Warriors,1962,7,59,N
Xavier Moon,1995-01-02 00:00:00,Morehead State,USA,6-0,165.0,1.0,15,Guard,Active,Clippers,Undrafted,Undrafted,Undrafted,N
Andre Moore,1964-07-02 00:00:00,Loyola-Chicago,USA,6-9,215.0,1.0,53,Forward,Inactive,Nuggets,1987,2,31,N
Otto Moore,1946-08-27 00:00:00,Texas-Pan American,USA,6-11,205.0,9.0,34,Center,Inactive,Pistons,1968,1,6,N
Ja Morant,1999-08-10 00:00:00,Murray State,USA,6-2,174.0,3.0,12,Guard,Active,Grizzlies,2019,1,2,N
Guy Morgan,1960-08-23 00:00:00,Wake Forest,USA,6-8,205.0,1.0,35,Guard,Inactive,Pacers,1982,2,40,N
Chris Morris,1966-01-20 00:00:00,Auburn,USA,6-8,228.0,11.0,34,Forward,Inactive,Nets,1988,1,4,N
Marcus Morris Sr.,1989-09-02 00:00:00,Kansas,USA,6-8,218.0,11.0,8,Forward,Active,Clippers,2011,1,14,N
Perry Moss,1958-11-11 00:00:00,Northeastern,USA,6-2,185.0,2.0,10,Guard,Inactive,Warriors,1982,3,69,N
Donatas Motiejunas,1990-09-20 00:00:00,Lithuania,Lithuania,7-0,220.0,7.0,28,Forward-Center,Inactive,Rockets,2011,1,20,N
Hanno Mottola,1976-09-09 00:00:00,Utah,Finland,6-11,247.0,2.0,13,Center-Forward,Inactive,Hawks,2000,2,40,N
Alonzo Mourning,1970-02-08 00:00:00,Georgetown,USA,6-10,261.0,16.0,33,Center,Inactive,Heat,1992,1,2,N
Timofey Mozgov,1986-07-16 00:00:00,                                   ,Russia,7-1,275.0,10.0,21,Center,Inactive,Nuggets,Undrafted,Undrafted,Undrafted,N
Erwin Mueller,1944-03-12 00:00:00,San Francisco,USA,6-8,230.0,7.0,51,Forward,Inactive,Pistons,1966,2,20,N
Jeff Mullins,1942-03-18 00:00:00,Duke,USA,6-4,190.0,12.0,23,Guard,Inactive,Warriors,1964,1,5,N
Todd Mundt,1970-05-17 00:00:00,Delta State,USA,7-0,255.0,1.0,51,Center,Inactive,Hawks,Undrafted,Undrafted,Undrafted,N
George Munroe,1922-01-05 00:00:00,Dartmouth,USA,5-11,170.0,2.0,6,Guard,Inactive,Bombers,Undrafted,Undrafted,Undrafted,N
Gheorghe Muresan,1971-02-14 00:00:00,Pau Orthez,Romania,7-7,303.0,7.0,77,Center,Inactive,Bullets,1993,2,30,N
Calvin Murphy,1948-05-09 00:00:00,Niagara,USA,5-9,165.0,13.0,23,Guard,Inactive,Rockets,1970,2,18,N
Erik Murphy,1990-10-26 00:00:00,Florida,Finland,6-10,230.0,1.0,33,Forward,Inactive,Bulls,2013,2,49,N
John Murphy,1924-09-13 00:00:00,Simon Gratz HS (PA),USA,6-2,175.0,1.0,12,Forward,Inactive,Warriors,1975,8,140,N
Ronnie Murphy,1964-07-29 00:00:00,Jacksonville,USA,6-5,225.0,1.0,34,Forward,Inactive,Trail Blazers,1987,1,17,N
Trey Murphy III,2000-06-18 00:00:00,Virginia,USA,6-8,206.0,1.0,25,Forward,Active,Pelicans,2021,1,17,N
Dejounte Murray,1996-09-19 00:00:00,Washington,USA,6-5,180.0,5.0,5,Guard,Active,Hawks,2016,1,29,N
Flip Murray,1979-07-29 00:00:00,Shaw,USA,6-3,200.0,9.0,6,Guard,Inactive,SuperSonics,2002,2,41,N
Keegan Murray,2000-08-19 00:00:00,Iowa,USA,6-8,225.0,0.0,13,Forward,Active,Kings,2022,1,4,N
Lamond Murray,1973-04-20 00:00:00,California,USA,6-7,235.0,11.0,31,Forward,Inactive,Clippers,1994,1,7,N
Dorie Murrey,1943-09-07 00:00:00,Detroit,USA,6-8,215.0,6.0,40,Forward,Inactive,SuperSonics,1966,2,12,N
Dzanan Musa,1999-05-08 00:00:00,                                   ,Bosnia and Herzegovina,6-9,217.0,3.0,13,Guard-Forward,Inactive,Nets,2018,1,29,N
Mike Muscala,1991-07-01 00:00:00,Bucknell,USA,6-11,240.0,9.0,57,Forward-Center,Active,Celtics,2013,2,44,N
Mamadou N'diaye,1975-06-16 00:00:00,Auburn,Senegal,7-0,255.0,6.0,34,Center,Inactive,Raptors,2000,1,26,N
Boris Nachamkin,1933-12-06 00:00:00,New York University,USA,6-6,210.0,1.0,17,Forward,Inactive,Royals,1954,2,16,N
Shabazz Napier,1991-07-14 00:00:00,Connecticut,USA,6-0,175.0,7.0,5,Guard,Inactive,Trail Blazers,2014,1,24,N
Steve Nash,1974-02-07 00:00:00,Santa Clara,Canada,6-3,178.0,19.0,10,Guard,Inactive,Suns,1996,1,15,Y
Swen Nater,1950-01-14 00:00:00,UCLA,USA,6-11,240.0,8.0,41,Center,Inactive,Clippers,1973,1,16,N
Calvin Natt,1957-01-08 00:00:00,Louisiana-Monroe,USA,6-6,220.0,11.0,42,Forward,Inactive,Trail Blazers,1979,1,8,N
Maurice Ndour,1992-06-18 00:00:00,Ohio,Senegal,6-9,200.0,2.0,2,Forward,Inactive,Knicks,Undrafted,Undrafted,Undrafted,N
Ed Nealy,1960-02-19 00:00:00,Kansas State,USA,6-7,238.0,10.0,45,Forward,Inactive,Kings,1982,8,166,N
Nemanja Nedovic,1991-06-16 00:00:00,Lietuvos rytas Vilnius,Serbia,6-3,192.0,2.0,8,Guard,Inactive,Warriors,2013,1,30,N
Jameer Nelson,1982-02-09 00:00:00,St. Joseph's (PA),USA,6-0,190.0,15.0,41,Guard,Inactive,Magic,2004,1,20,N
Martin Nessley,1965-02-16 00:00:00,Duke,USA,7-2,260.0,1.0,51,Forward,Inactive,Clippers,1987,6,116,N
Johnny Neumann,1951-09-11 00:00:00,Mississippi,USA,6-6,200.0,2.0,21,Guard,Inactive,Lakers,1973,6,98,N
Chuck Nevitt,1959-06-13 00:00:00,North Carolina State,USA,7-5,217.0,9.0,52,Center,Inactive,Pistons,1982,3,63,N
Mike Newlin,1949-01-02 00:00:00,Utah,USA,6-4,200.0,11.0,14,Guard,Inactive,Rockets,1971,2,24,N
Georges Niang,1993-06-17 00:00:00,Iowa State,USA,6-7,230.0,6.0,20,Forward,Active,76ers,2016,2,50,N
Andrew Nicholson,1989-12-08 00:00:00,St. Bonaventure,Canada,6-9,250.0,6.0,44,Forward,Inactive,Magic,2012,1,19,N
Kurt Nimphius,1958-03-13 00:00:00,Arizona State,USA,6-10,218.0,8.0,40,Center,Inactive,Mavericks,1980,3,47,N
Zeke Nnaji,2001-01-09 00:00:00,Arizona,USA,6-9,240.0,2.0,22,Forward-Center,Active,Nuggets,2020,1,22,N
David Noel,1984-02-27 00:00:00,North Carolina,USA,6-6,230.0,2.0,34,Forward-Guard,Inactive,Bucks,2006,2,39,N
Paul Noel,1924-08-04 00:00:00,Kentucky,USA,6-4,185.0,5.0,15,Forward,Inactive,Knicks,Undrafted,Undrafted,Undrafted,N
Connie Norman,1953-09-24 00:00:00,Arizona,USA,6-3,175.0,3.0,11,Guard,Inactive,76ers,1974,3,37,N
Audie Norris,1960-12-18 00:00:00,Jackson State,USA,6-9,230.0,3.0,24,Center,Inactive,Trail Blazers,1982,2,37,N
Sylvester Norris,1957-02-18 00:00:00,Jackson State,USA,6-11,220.0,1.0,40,Center,Inactive,Spurs,1979,3,63,N
Willie Norwood,1947-08-08 00:00:00,Alcorn State,USA,6-7,220.0,7.0,8,Forward,Inactive,Pistons,1969,2,19,N
Stan Noszka,1920-09-19 00:00:00,Duquesne,USA,6-1,185.0,3.0,10,Guard,Inactive,Ironmen,Undrafted,Undrafted,Undrafted,N
Jaylen Nowell,1999-07-09 00:00:00,Washington,USA,6-4,201.0,3.0,4,Guard,Active,Timberwolves,2019,2,43,N
Kendrick Nunn,1995-08-03 00:00:00,Oakland,USA,6-3,190.0,2.0,12,Guard,Active,Wizards,Undrafted,Undrafted,Undrafted,N
James Nunnally,1990-07-14 00:00:00,Cal-Santa Barbara,USA,6-7,205.0,4.0,21,Forward,Inactive,76ers,Undrafted,Undrafted,Undrafted,N
David Nwaba,1993-01-14 00:00:00,Cal Poly,USA,6-5,219.0,7.0,2,Guard-Forward,Inactive,Rockets,Undrafted,Undrafted,Undrafted,N
Charles O'Bannon,1975-02-22 00:00:00,UCLA,USA,6-5,209.0,1.0,5,Guard,Inactive,Pistons,1997,2,31,N
Mike O'Koren,1958-02-07 00:00:00,North Carolina,USA,6-7,207.0,8.0,31,Forward,Inactive,Nets,1980,1,6,N
Shaquille O'Neal,1972-03-06 00:00:00,Louisiana State,USA,7-1,325.0,19.0,34,Center,Inactive,Lakers,1992,1,1,Y
Royce O'Neale,1993-06-05 00:00:00,Baylor,USA,6-6,226.0,5.0,00,Forward,Active,Nets,Undrafted,Undrafted,Undrafted,N
Kyle O'Quinn,1990-03-26 00:00:00,Norfolk State,USA,6-9,250.0,9.0,9,Center-Forward,Inactive,Knicks,2012,2,49,N
Greg Oden,1988-01-22 00:00:00,Ohio State,USA,7-0,273.0,4.0,20,Center,Inactive,Trail Blazers,2007,1,1,N
Carlos Ogden,1946-12-29 00:00:00,Santa Clara,USA,6-6,215.0,2.0,28,Forward,Inactive,76ers,1969,1,13,N
Ralph Ogden,1948-01-25 00:00:00,Santa Clara,USA,6-5,205.0,1.0,22,Forward,Inactive,Warriors,1970,4,53,N
Tim Ohlbrecht,1988-08-30 00:00:00,Skyliners Frankfurt,Germany,6-11,255.0,2.0,14,Center-Forward,Inactive,Rockets,Undrafted,Undrafted,Undrafted,N
Emeka Okafor,1982-09-28 00:00:00,Connecticut,USA,6-10,255.0,11.0,50,Center,Inactive,Bobcats,2004,1,2,N
Jahlil Okafor,1995-12-15 00:00:00,Duke,USA,6-10,270.0,7.0,13,Center-Forward,Inactive,76ers,2015,1,3,N
Elie Okobo,1997-10-23 00:00:00,                                   ,France,6-3,190.0,3.0,2,Forward-Guard,Inactive,Suns,2018,2,31,N
Onyeka Okongwu,2000-12-11 00:00:00,Southern California,USA,6-9,240.0,2.0,17,Forward-Center,Active,Hawks,2020,1,6,N
Isaac Okoro,2001-01-26 00:00:00,Auburn,USA,6-5,225.0,2.0,35,Forward-Guard,Active,Cavaliers,2020,1,5,N
Hakeem Olajuwon,1963-01-21 00:00:00,Houston,Nigeria,7-0,255.0,19.0,34,Center,Inactive,Rockets,1984,1,1,Y
Jawann Oldham,1957-07-04 00:00:00,Seattle,USA,7-0,215.0,10.0,22,Center,Inactive,Bulls,1980,2,41,N
Frank Oleynick,1955-02-20 00:00:00,Seattle,USA,6-2,185.0,2.0,44,Guard,Inactive,SuperSonics,1975,1,12,N
Dean Oliver,1978-11-05 00:00:00,Iowa,USA,5-11,175.0,2.0,2,Guard,Inactive,Warriors,Undrafted,Undrafted,Undrafted,N
Enoch Olsen,1940-07-25 00:00:00,Louisville,USA,6-8,220.0,7.0,10,Forward,Inactive,Royals,1962,2,13,N
Eugene Omoruyi,1997-02-14 00:00:00,Oregon,Nigeria,6-6,235.0,1.0,97,Forward,Active,Pistons,Undrafted,Undrafted,Undrafted,N
Jose Ortiz,1963-10-25 00:00:00,Oregon State,USA,6-10,225.0,2.0,44,Forward,Inactive,Jazz,1987,1,15,N
Chuck Osborne,1939-01-21 00:00:00,Western Kentucky,USA,6-6,210.0,1.0,23,Forward,Inactive,Nationals,1961,3,28,N
Kelly Oubre Jr.,1995-12-09 00:00:00,Kansas,USA,6-6,203.0,7.0,12,Forward-Guard,Active,Hornets,2015,1,15,N
Doug Overton,1969-08-03 00:00:00,La Salle,USA,6-3,190.0,12.0,24,Guard,Inactive,Bullets,1991,2,40,N
Andre Owens,1980-10-31 00:00:00,Houston,USA,6-4,200.0,3.0,20,Guard,Inactive,Pacers,Undrafted,Undrafted,Undrafted,N
Chris Owens,1979-03-01 00:00:00,Texas-Austin,USA,6-7,245.0,2.0,20,Forward,Inactive,Grizzlies,2002,2,47,N
Keith Owens,1969-05-31 00:00:00,UCLA,USA,6-7,225.0,1.0,25,Forward,Inactive,Lakers,Undrafted,Undrafted,Undrafted,N
Tariq Owens,1995-06-30 00:00:00,Texas Tech,USA,6-10,205.0,2.0,41,Forward,Inactive,Suns,Undrafted,Undrafted,Undrafted,N
Tom Owens,1949-06-28 00:00:00,South Carolina,USA,6-10,215.0,7.0,44,Center,Inactive,Trail Blazers,1971,4,58,N
Zaza Pachulia,1984-02-10 00:00:00,"Tbilisi, Georgia",Georgia,6-11,270.0,17.0,27,Center,Inactive,Hawks,2003,2,42,N
Gerald Paddio,1965-04-21 00:00:00,UNLV,USA,6-7,205.0,3.0,4,Forward,Inactive,Cavaliers,1988,3,74,N
Marcus Paige,1993-09-11 00:00:00,North Carolina,USA,6-0,164.0,2.0,4,Guard,Inactive,Hornets,2016,2,55,N
Georgios Papagiannis,1997-07-03 00:00:00,Panathinaikos,Greece,7-1,240.0,2.0,19,Center,Inactive,Kings,2016,1,13,N
Medford Park,1933-04-11 00:00:00,Missouri,USA,6-2,205.0,5.0,14,Guard,Inactive,Hawks,Undrafted,Undrafted,Undrafted,N
Smush Parker,1981-06-01 00:00:00,Fordham,USA,6-4,190.0,6.0,1,Guard,Inactive,Lakers,Undrafted,Undrafted,Undrafted,N
Sonny Parker,1955-03-22 00:00:00,Texas A&M,USA,6-6,200.0,6.0,22,Forward,Inactive,Warriors,1976,1,17,N
Tony Parker,1982-05-17 00:00:00,Paris Basket Racing,France,6-2,185.0,19.0,9,Guard,Inactive,Spurs,2001,1,28,N
Jack Parr,1936-03-13 00:00:00,Kansas State,USA,6-9,220.0,1.0,16,Center,Inactive,Royals,1958,10,70,N
Eric Paschall,1996-11-04 00:00:00,Villanova,USA,6-6,255.0,4.0,0,Forward,Inactive,Jazz,2019,2,41,N
Steve Patterson,1948-06-24 00:00:00,UCLA,USA,6-9,225.0,5.0,32-42,Center,Inactive,Cavaliers,1971,2,18,N
Tommy Patterson,1948-10-15 00:00:00,Ouachita Baptist,USA,6-6,220.0,2.0,30,Forward,Inactive,Bullets,1972,2,25,N
Worthy Patterson,1931-06-17 00:00:00,Connecticut,USA,6-2,175.0,1.0,17,Guard,Inactive,Hawks,Undrafted,Undrafted,Undrafted,N
Charlie Paulk,1946-06-14 00:00:00,Northeastern State,USA,6-8,219.0,3.0,42,Forward,Inactive,Royals,1968,1,7,N
Billy Paultz,1948-07-30 00:00:00,St. John's,USA,6-11,235.0,9.0,5,Center,Inactive,Spurs,1970,7,103,N
Sasha Pavlovic,1983-11-15 00:00:00,Buducnost,Montenegro,6-7,235.0,11.0,3,Guard-Forward,Inactive,Cavaliers,2003,1,19,N
Jim Paxson,1932-12-19 00:00:00,Dayton,USA,6-6,200.0,2.0,11,Guard,Inactive,Lakers,1956,1,3,N
John Paxson,1960-09-29 00:00:00,Notre Dame,USA,6-2,185.0,11.0,5,Guard,Inactive,Bulls,1983,1,19,N
Cameron Payne,1994-08-08 00:00:00,Murray State,USA,6-1,183.0,7.0,15,Guard,Active,Suns,2015,1,14,N
Kenny Payne,1966-11-25 00:00:00,Louisville,USA,6-8,195.0,4.0,21,Forward,Inactive,76ers,1989,1,19,N
Gary Payton,1968-07-23 00:00:00,Oregon State,USA,6-4,190.0,18.0,20,Guard,Inactive,SuperSonics,1990,1,2,Y
Oleksiy Pecherov,1985-12-08 00:00:00,Kyiv,Ukraine,7-0,234.0,4.0,4,Forward-Center,Inactive,Wizards,2006,1,18,N
Wiley Peck,1957-09-15 00:00:00,Mississippi State,USA,6-7,220.0,1.0,54,Guard,Inactive,Spurs,1979,1,19,N
Anthony Peeler,1969-11-25 00:00:00,Missouri,USA,6-4,208.0,14.0,8,Guard,Inactive,Timberwolves,1992,1,15,N
Jake Pelkington,1916-01-03 00:00:00,Manhattan,USA,6-6,220.0,1.0,30,Center,Inactive,Bullets,Undrafted,Undrafted,Undrafted,N
Sam Pellom,1951-10-02 00:00:00,Buffalo State,USA,6-9,225.0,4.0,41,Forward,Inactive,Hawks,Undrafted,Undrafted,Undrafted,N
Mike Peplowski,1970-10-15 00:00:00,Michigan State,USA,6-10,270.0,3.0,54,Center,Inactive,Kings,1993,2,52,N
Will Perdue,1965-08-29 00:00:00,Vanderbilt,USA,7-0,240.0,13.0,55,Center,Inactive,Bulls,1988,1,11,N
Kendrick Perkins,1984-11-10 00:00:00,Clifton J. Ozen HS (TX),USA,6-10,270.0,14.0,21,Center,Inactive,Celtics,2003,1,27,N
Sam Perkins,1961-06-14 00:00:00,North Carolina,USA,6-9,260.0,17.0,14,Center-Forward,Inactive,Mavericks,1984,1,4,N
Kosta Perovic,1985-02-19 00:00:00,Partizan,Serbia,7-2,240.0,2.0,19,Center,Inactive,Warriors,2006,2,38,N
Chuck Person,1964-06-27 00:00:00,Auburn,USA,6-8,241.0,13.0,45,Forward,Inactive,Pacers,1986,1,4,N
Wesley Person,1971-03-28 00:00:00,Auburn,USA,6-6,200.0,12.0,10,Guard-Forward,Inactive,Cavaliers,1994,1,23,N
Alec Peters,1995-04-13 00:00:00,Valparaiso,USA,6-9,235.0,1.0,25,Forward,Inactive,Suns,2017,2,54,N
Loy Petersen,1945-07-26 00:00:00,Oregon State,USA,6-5,205.0,2.0,15,Guard,Inactive,Bulls,1968,2,17,N
Mel Peterson,1938-03-23 00:00:00,Wheaton,USA,6-4,185.0,1.0,16,Guard,Inactive,Bullets,1960,11,78,N
Geoff Petrie,1948-04-17 00:00:00,Princeton,USA,6-4,190.0,6.0,45,Guard,Inactive,Trail Blazers,1970,1,8,N
Johan Petro,1986-01-27 00:00:00,                                   ,France,7-0,247.0,9.0,10,Center,Inactive,Thunder,2005,1,25,N
Drazen Petrovic,1964-10-22 00:00:00,Real Madrid,Croatia,6-5,195.0,4.0,3,Guard,Inactive,Nets,1986,3,60,N
Derrick Phelps,1972-07-31 00:00:00,North Carolina,USA,6-4,181.0,1.0,5,Forward,Inactive,Kings,Undrafted,Undrafted,Undrafted,N
Eddie Phillips,1961-09-29 00:00:00,Alabama,USA,6-7,225.0,1.0,51,Forward,Inactive,Nets,1982,1,21,N
Eric Piatkowski,1970-09-30 00:00:00,Nebraska,USA,6-7,215.0,15.0,52,Guard-Forward,Inactive,Clippers,1994,1,15,N
Paul Pierce,1977-10-13 00:00:00,Kansas,USA,6-7,235.0,20.0,34,Forward,Inactive,Celtics,1998,1,10,Y
Ricky Pierce,1959-08-19 00:00:00,Rice,USA,6-4,215.0,16.0,22,Guard,Inactive,Bucks,1982,1,18,N
Mickael Pietrus,1982-02-07 00:00:00,Pau Orthez,France,6-6,215.0,11.0,20,Forward,Inactive,Warriors,2003,1,11,N
Ed Pinckney,1963-03-27 00:00:00,Villanova,USA,6-9,240.0,12.0,54,Forward,Inactive,Celtics,1985,1,10,N
John Pinone,1961-02-19 00:00:00,Villanova,USA,6-8,230.0,1.0,33,Forward,Inactive,Hawks,1983,3,58,N
Marshall Plumlee,1992-07-14 00:00:00,Duke,USA,7-0,250.0,2.0,40,Center,Inactive,Knicks,Undrafted,Undrafted,Undrafted,N
Miles Plumlee,1988-09-01 00:00:00,Duke,USA,6-11,249.0,8.0,18,Center,Inactive,Suns,2012,1,26,N
Gary Plummer,1962-02-21 00:00:00,Boston University,USA,6-9,215.0,2.0,45,Forward,Inactive,Warriors,1984,2,45,N
Jakob Poeltl,1995-10-15 00:00:00,Utah,Austria,7-1,245.0,6.0,19,Center,Active,Raptors,2016,1,9,N
Scot Pollard,1975-02-12 00:00:00,Kansas,USA,6-11,278.0,12.0,66,Center-Forward,Inactive,Kings,1997,1,19,N
Cliff Pondexter,1954-09-15 00:00:00,Long Beach State,USA,6-9,233.0,3.0,41,Forward,Inactive,Bulls,1974,1,16,N
Quincy Pondexter,1988-03-10 00:00:00,Washington,USA,6-7,230.0,8.0,3,Forward,Inactive,Grizzlies,2010,1,26,N
Yves Pons,1999-05-07 00:00:00,Tennessee,France,6-5,206.0,2.0,5,Forward,Inactive,Grizzlies,Undrafted,Undrafted,Undrafted,N
David Pope,1962-04-15 00:00:00,Norfolk State,USA,6-7,220.0,2.0,51,Forward,Inactive,Kings,1984,3,62,N
Mark Pope,1972-09-11 00:00:00,Kentucky,USA,6-10,235.0,7.0,41,Center-Forward,Inactive,Bucks,1996,2,52,N
Dave Popson,1964-05-17 00:00:00,North Carolina,USA,6-10,220.0,3.0,50,Center,Inactive,Celtics,1987,4,88,N
Ben Poquette,1955-05-07 00:00:00,Central Michigan,USA,6-9,235.0,10.0,50,Forward,Inactive,Jazz,1977,2,36,N
Howard Porter,1948-08-31 00:00:00,Villanova,USA,6-8,220.0,7.0,54,Forward,Inactive,Pistons,1971,2,32,N
Jontay Porter,1999-11-15 00:00:00,Missouri,USA,6-11,240.0,2.0,4,Center-Forward,Inactive,Grizzlies,Undrafted,Undrafted,Undrafted,N
Kevin Porter,1950-04-17 00:00:00,St. Francis (PA),USA,6-0,170.0,10.0,1,Guard,Inactive,Bullets,1972,3,39,N
Kevin Porter Jr.,2000-05-04 00:00:00,Southern California,USA,6-4,203.0,3.0,3,Guard-Forward,Active,Rockets,2019,1,30,N
Bob Portman,1947-03-22 00:00:00,Creighton,USA,6-5,200.0,4.0,33,Forward,Inactive,Warriors,1969,1,7,N
Kristaps Porzingis,1995-08-02 00:00:00,Cajasol Sevilla,Latvia,7-3,240.0,6.0,6,Forward-Center,Active,Wizards,2015,1,4,N
James Posey,1977-01-13 00:00:00,Xavier,USA,6-8,217.0,13.0,41,Forward,Inactive,Nuggets,1999,1,18,N
Lavor Postell,1978-02-26 00:00:00,St. John's,USA,6-5,215.0,4.0,7,Guard-Forward,Inactive,Knicks,2000,2,39,N
Micah Potter,1998-04-06 00:00:00,Wisconsin,USA,6-8,248.0,1.0,25,Center,Active,Jazz,Undrafted,Undrafted,Undrafted,N
Dwight Powell,1991-07-20 00:00:00,Stanford,Canada,6-10,240.0,8.0,7,Forward-Center,Active,Mavericks,2014,2,45,N
Kasib Powell,1981-03-18 00:00:00,Texas Tech,USA,6-7,215.0,2.0,12,Forward,Inactive,Heat,Undrafted,Undrafted,Undrafted,N
Norman Powell,1993-05-25 00:00:00,UCLA,USA,6-4,215.0,7.0,24,Guard,Active,Clippers,2015,2,46,N
Paul Pressey,1958-12-24 00:00:00,Tulsa,USA,6-5,185.0,12.0,5,Guard,Inactive,Bucks,1982,1,20,N
Dominic Pressley,1964-05-30 00:00:00,Boston College,USA,6-2,170.0,1.0,12,Guard,Inactive,Bullets,1986,5,99,N
Harold Pressley,1963-07-14 00:00:00,Villanova,USA,6-7,210.0,4.0,21,Forward,Inactive,Kings,1986,1,17,N
Jason Preston,1999-08-10 00:00:00,Ohio,USA,6-3,181.0,0.0,17,Guard,Active,Clippers,2021,2,33,N
Jim Price,1949-11-27 00:00:00,Louisville,USA,6-3,195.0,7.0,5,Guard,Inactive,Lakers,1972,2,16,N
Mark Price,1964-02-15 00:00:00,Georgia Tech,USA,6-0,180.0,12.0,25,Guard,Inactive,Cavaliers,1986,2,25,N
Mike Price,1948-09-11 00:00:00,Illinois,USA,6-3,200.0,3.0,36,Guard,Inactive,Knicks,1970,1,17,N
Tony Price,1957-01-05 00:00:00,Pennsylvania,USA,6-6,190.0,1.0,34,Guard,Inactive,Clippers,1979,2,29,N
